"상권별(1)","상권별(2)",상권별(3),항목,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4
"서울","소계(강남지역)",압구정,순영업소득 (천원/㎡),52.7,89.2,91.3,91.0,47.5,90.1,90.3
"서울","소계(강남지역)",청담,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,99.4
"서울","소계(강남지역)",청담,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.6
"서울","소계(강남지역)",청담,운영경비 (%),65.9,15.0,14.2,12.8,70.4,13.7,13.7
"서울","소계(강남지역)",청담,순영업소득 (%),34.1,85.0,85.8,87.2,29.6,86.3,86.3
"서울","소계(강남지역)",청담,순영업소득 (천원/㎡),42.5,104.7,111.5,126.0,40.1,117.5,120.9
"서울","소계(강남지역)",테헤란로,임대수입 (%),86.8,86.8,86.8,86.7,86.6,86.7,86.7
"서울","소계(강남지역)",테헤란로,기타수입 (%),13.2,13.2,13.2,13.3,13.4,13.3,13.3
"서울","소계(강남지역)",테헤란로,운영경비 (%),54.8,7.2,7.3,7.3,62.0,11.3,11.3
"서울","소계(강남지역)",테헤란로,순영업소득 (%),45.2,92.8,92.7,92.7,38.0,88.7,88.7
"서울","소계(강남지역)",테헤란로,순영업소득 (천원/㎡),80.0,165.9,165.7,165.0,66.1,156.9,157.0
"서울","소계(영등포신촌지역)",소계,임대수입 (%),99.7,99.7,99.7,99.7,99.7,99.7,99.7
"서울","소계(영등포신촌지역)",소계,기타수입 (%),0.3,0.3,0.3,0.3,0.3,0.3,0.3
"서울","소계(영등포신촌지역)",소계,운영경비 (%),46.6,12.1,12.2,12.3,52.6,12.8,12.6
"서울","소계(영등포신촌지역)",소계,순영업소득 (%),53.4,87.9,87.8,87.7,47.4,87.2,87.4
"서울","소계(영등포신촌지역)",소계,순영업소득 (천원/㎡),59.2,97.7,97.9,97.3,50.0,94.7,95.4
"서울","소계(영등포신촌지역)",공덕역,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(영등포신촌지역)",공덕역,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(영등포신촌지역)",공덕역,운영경비 (%),39.6,9.2,9.3,9.3,43.7,10.2,10.7
"서울","소계(영등포신촌지역)",공덕역,순영업소득 (%),60.4,90.8,90.7,90.7,56.3,89.8,89.3
"서울","소계(영등포신촌지역)",공덕역,순영업소득 (천원/㎡),79.5,120.1,119.5,118.9,72.9,118.1,111.9
"서울","소계(영등포신촌지역)",당산역,임대수입 (%),99.2,99.2,99.2,99.2,99.2,99.2,99.2
"서울","소계(영등포신촌지역)",당산역,기타수입 (%),0.8,0.8,0.8,0.8,0.8,0.8,0.8
"서울","소계(영등포신촌지역)",당산역,운영경비 (%),38.4,7.7,7.7,7.8,38.2,8.0,5.3
"서울","소계(영등포신촌지역)",당산역,순영업소득 (%),61.6,92.3,92.3,92.2,61.8,92.0,94.7
"서울","소계(영등포신촌지역)",당산역,순영업소득 (천원/㎡),58.7,88.3,88.3,87.8,58.4,90.8,93.9
"서울","소계(영등포신촌지역)",동교/연남,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(영등포신촌지역)",동교/연남,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(영등포신촌지역)",동교/연남,운영경비 (%),30.0,12.5,12.6,12.9,37.8,13.6,13.4
"서울","소계(영등포신촌지역)",동교/연남,순영업소득 (%),70.0,87.5,87.4,87.1,62.2,86.4,86.6
"서울","소계(영등포신촌지역)",동교/연남,순영업소득 (천원/㎡),88.2,110.6,110.1,109.1,77.4,109.0,110.7
"서울","소계(영등포신촌지역)",망원역,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(영등포신촌지역)",망원역,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(영등포신촌지역)",망원역,운영경비 (%),41.3,16.8,17.4,17.8,50.7,18.7,18.9
"서울","소계(영등포신촌지역)",망원역,순영업소득 (%),58.7,83.2,82.6,82.2,49.3,81.3,81.1
"서울","소계(영등포신촌지역)",망원역,순영업소득 (천원/㎡),55.7,77.2,73.6,72.1,44.4,76.5,76.5
"서울","소계(영등포신촌지역)",신촌/이대,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(영등포신촌지역)",신촌/이대,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(영등포신촌지역)",신촌/이대,운영경비 (%),61.9,13.1,14.1,13.6,74.7,13.0,13.0
"서울","소계(영등포신촌지역)",신촌/이대,순영업소득 (%),38.1,86.9,85.9,86.4,25.3,87.0,87.0
"서울","소계(영등포신촌지역)",신촌/이대,순영업소득 (천원/㎡),36.1,83.5,88.2,88.0,23.6,84.0,84.2
"서울","소계(영등포신촌지역)",영등포역,임대수입 (%),98.7,98.7,98.7,98.7,98.7,98.7,98.7
"서울","소계(영등포신촌지역)",영등포역,기타수입 (%),1.3,1.3,1.3,1.3,1.3,1.3,1.3
"서울","소계(영등포신촌지역)",영등포역,운영경비 (%),47.8,9.9,9.3,9.5,54.3,8.7,8.6
"서울","소계(영등포신촌지역)",영등포역,순영업소득 (%),52.2,90.1,90.7,90.5,45.7,91.3,91.4
"서울","소계(영등포신촌지역)",영등포역,순영업소득 (천원/㎡),49.5,85.8,87.6,86.9,42.7,89.7,89.2
"서울","소계(영등포신촌지역)",홍대/합정,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(영등포신촌지역)",홍대/합정,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(영등포신촌지역)",홍대/합정,운영경비 (%),54.3,13.8,13.9,13.9,59.9,15.5,15.1
"서울","소계(영등포신촌지역)",홍대/합정,순영업소득 (%),45.7,86.2,86.1,86.1,40.1,84.5,84.9
"서울","소계(영등포신촌지역)",홍대/합정,순영업소득 (천원/㎡),57.7,109.9,109.6,109.3,44.8,96.6,100.7
"서울","소계(기타지역)",소계,임대수입 (%),99.4,99.4,99.6,99.5,99.5,99.5,99.5
"서울","소계(기타지역)",소계,기타수입 (%),0.6,0.6,0.4,0.5,0.5,0.5,0.5
"서울","소계(기타지역)",소계,운영경비 (%),42.8,11.0,11.3,11.7,48.0,12.0,12.4
"서울","소계(기타지역)",소계,순영업소득 (%),57.2,89.0,88.7,88.3,52.0,88.0,87.6
"서울","소계(기타지역)",소계,순영업소득 (천원/㎡),54.4,85.8,85.1,83.8,48.4,83.5,82.1
"서울","소계(기타지역)",가락시장,임대수입 (%),97.6,98.1,98.1,98.1,98.1,98.1,98.0
"서울","소계(기타지역)",가락시장,기타수입 (%),2.4,1.9,1.9,1.9,1.9,1.9,2.0
"서울","소계(기타지역)",가락시장,운영경비 (%),156.3,21.3,16.6,16.7,122.3,16.7,17.6
